SupplierID;SupplierCode;SupplierName;Telephone;Address;City;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
1;001;AA MOTOR;;;;;2018-08-21;Admin1;;
2;002;Indomotor Sport;;;;;2018-08-21;Admin1;;
3;003;TRIJAYA;;;;;2018-08-21;Admin1;;
4;004;OMG WARID;;;;;2018-08-21;Admin1;;
5;005;PT. JATENG TOP - SEMARANG;;;;;2018-08-21;Admin1;;
6;006;UD SINAR MOTOR;;;;;2018-08-21;Admin1;;
7;007;ANUGRAH JAYA MOTOR;;;;;2018-08-21;Admin1;;
8;008;PT.NUSANTARA SAKTI;;;;;2018-08-21;Admin1;;
9;009;PT.ASTRA OTOPARTS TBK;;;;;2018-08-21;Admin1;;
10;010;PT PRIMA TUNGGAL MANDIRI;;;;;2018-08-21;Admin1;;
11;011;TGP;;;;;2018-08-21;Admin1;;
12;012;S.P.C;;;;;2018-08-21;Admin1;;
13;013;PT.FUDORU INDONESIA;;;;;2018-08-21;Admin1;;
14;014;GUNUNG MAS INDAH;;;;;2018-08-21;Admin1;;
15;015;CV MEKAR MAJU BERSAMA;;;;;2018-08-21;Admin1;;
16;016;PT MAJU MULYA SEJAHTERA;;;;;2018-08-21;Admin1;;
17;017;PARTINDO MAS SEJAHTERA;;;;;2018-08-21;Admin1;;
18;018;RJM;;;;;2018-08-21;Admin1;;
19;019;RIA;;;;;2018-08-21;Admin1;;
20;020;TRANS MOTOR;;;;;2018-08-21;Admin1;;
21;021;SIDODADI;;;;;2018-08-21;Admin1;;
22;022;CV TIGA JAYA;;;;;2018-08-21;Admin1;;
23;023;TRISKA UTAMA;;;;;2018-08-21;Admin1;;
24;024;UJANG;;;;;2018-08-21;Admin1;;
25;025;SPD;;;;;2018-08-21;Admin1;;
26;026;MONSTER;;;;;2018-08-21;Admin1;;
27;027;CR7;;;;;2018-08-21;Admin1;;
28;028;GAJAH;;;;;2018-08-21;Admin1;;
29;029;PT BINA ADIDAYA;;;;;2018-08-21;Admin1;;
30;030;GTH MOTOR;;;;;2018-08-21;Admin1;;
31;031;PT MEKA ADIPRATAMA;;;;;2018-08-21;Admin1;;
32;032;MBL;;;;;2018-08-21;Admin1;;
33;033;MAJU JAYA;;;;;2018-08-21;Admin1;;
34;034;KJM ACCESSORIES;;;;;2018-08-21;Admin1;;
35;035;KYB SHOCK ABSORBER;;;;;2018-08-21;Admin1;;
36;036;BINTANG MAKMUR MOTOR;;;;;2018-08-21;Admin1;;
37;037;NAGA SAKTI MOTOR;;;;;2018-08-21;Admin1;;
38;038;menyanan;;;;;2018-08-21;Admin1;;
39;039;SUMBER HARAPAN BAN;;;;;2018-08-21;Admin1;;